iter	RMSE
0	11655.86053
1	10113.72227
2	8750.579471
3	7623.795519
4	6582.628732
5	5726.589525
6	4977.701148
7	4347.151462
8	3794.229841
9	3298.624266
10	2897.942402
11	2565.488037
12	2251.554221
13	2004.879157
14	1781.559892
15	1586.233092
16	1427.476828
17	1289.17483
18	1165.115963
19	1057.552262
20	967.6354798
21	901.6625805
22	842.2979981
23	784.590017
24	731.9478713
25	694.6946732
26	661.9130696
27	630.3928293
28	603.1323594
29	578.5978613
30	559.8203368
31	536.5167392
32	517.2263718
33	498.4876144
34	483.1565885
35	470.2460774
36	455.4253586
37	443.2047113
38	432.7442646
39	422.7531285
40	411.2799577
41	400.1756765
42	390.3773308
43	382.9778052
44	373.3591716
45	363.9869504
46	356.1247659
47	349.1062314
48	343.5241601
49	336.2878982
50	328.4497028
51	321.0626402
52	313.9857424
53	307.6504903
54	301.8169843
55	297.1011243
56	291.017973
57	286.2847295
58	282.6124823
59	278.2273875
60	274.9465453
61	271.6861729
62	266.1956602
63	263.868072
64	259.931555
65	256.1932982
66	252.5471627
67	250.9891511
68	245.2973458
69	239.8181098
70	234.6352716
71	232.4190395
72	230.6932167
73	226.7964317
74	221.5494132
75	216.3935766
76	214.1333168
77	211.2887971
78	210.3550059
79	205.1035093
80	202.7703973
81	198.4600613
82	195.1486654
83	193.804915
84	192.5899404
85	188.9283092
86	186.8711177
87	183.2965645
88	181.7210872
89	181.0232692
90	177.2757546
91	176.4220367
92	174.9427832
93	172.1874005
94	168.3151079
95	164.9950625
96	162.7656361
97	161.9449331
98	158.9205634
99	157.9624154
100	157.6701828
101	157.025564
102	155.1197065
103	152.82765
104	151.2668781
105	150.290046
106	147.819594
107	147.4894675
108	144.907049
109	143.3912551
110	141.9491887
111	140.7192098
112	139.3081497
113	138.7880314
114	136.1826752
115	134.7076906
116	133.0099688
117	131.9182924
118	129.9268504
119	129.5797197
120	127.5335249
121	126.0821843
122	124.5664824
123	123.2842642
124	122.25197
125	120.9137856
126	119.8384587
127	118.8307663
128	117.8106913
129	116.5190222
130	115.1536386
131	113.6355145
132	112.0427586
133	111.3456406
134	111.0636324
135	110.7937599
136	110.4285673
137	109.1740147
138	108.1858942
139	107.9821531
140	106.3277563
141	105.8245034
142	105.4003924
143	105.1245473
144	104.557695
145	104.1007283
146	102.7423286
147	102.1335753
148	100.7522065
149	99.26020028
150	98.1026944
151	97.43917097
152	96.71968419
153	95.41282205
154	94.15712727
155	93.45032793
156	92.13778121
157	91.97746216
158	90.90436471
159	90.22912858
160	89.13276479
161	88.56530911
162	87.31979433
163	86.73963206
164	85.57857201
165	84.36801743
166	84.19941059
167	84.07465813
168	83.41161951
169	82.57099125
170	81.69208394
171	80.57780591
172	79.34448025
173	78.35595185
174	78.05929043
175	77.31002746
176	76.63252187
177	76.01267682
178	75.20333763
179	74.63654784
180	73.87507867
181	72.63045577
182	72.23110466
183	72.11049878
184	71.16682142
185	70.44969992
186	69.50389396
187	69.11004269
188	68.54918426
189	68.0648347
190	67.39793481
191	66.64016897
192	65.73244608
193	65.22027534
194	64.35142566
195	63.95180935
196	63.31535329
197	62.77099153
198	62.31126301
199	61.98780363
200	61.88022175
201	61.18551608
202	60.44528569
203	60.35495709
204	59.88413207
205	59.44980843
206	58.94456815
207	58.28638874
208	58.00140889
209	57.69571687
210	57.48295803
211	56.88577954
212	56.30794554
213	55.52725012
214	54.83442653
215	54.5431788
216	54.35156813
217	53.91646465
218	53.18837396
219	52.93441626
220	52.28259723
221	51.89041431
222	51.56585097
223	51.35278931
224	50.78164062
225	50.09423607
226	49.6372853
227	49.2689903
228	48.6798643
229	48.62760246
230	48.05908402
231	47.5561609
232	47.33234825
233	46.83293684
234	46.25172297
235	46.07393972
236	45.82298185
237	45.38489567
238	44.87900095
239	44.428126
240	44.25259818
241	43.64455811
242	43.20653063
243	42.83095358
244	42.46778429
245	42.16381482
246	42.10577914
247	41.61171315
248	41.38609054
249	41.04118925
250	40.46955759
251	40.03852927
252	39.63853235
253	39.34483324
254	39.16365118
255	38.81619187
256	38.70399485
257	38.29559103
258	37.92065012
259	37.5477246
260	37.32524457
261	37.13026226
262	36.94585551
263	36.51932062
264	36.16380302
265	36.03584167
266	35.74202218
267	35.58953705
268	35.29893179
269	35.02995927
270	34.68609279
271	34.40897996
272	34.14786579
273	33.73809856
274	33.43949867
275	33.32765445
276	33.15254204
277	32.69444439
278	32.35598353
279	32.05892281
280	31.81541387
281	31.71305634
282	31.34365883
283	31.04456575
284	30.95293644
285	30.78495018
286	30.59828193
287	30.42615495
288	30.18391038
289	29.99472222
290	29.60495765
291	29.42112523
292	29.21925127
293	29.09559645
294	28.76448979
295	28.60286947
296	28.37272957
297	28.05637095
298	27.97388138
299	27.80622716
300	27.6114496
301	27.21930059
302	27.04538149
303	26.71912137
304	26.66950388
305	26.34888196
306	26.03252346
307	25.95399193
308	25.68598859
309	25.55922461
310	25.38848888
311	25.20885744
312	25.04193324
313	24.77273329
314	24.58415672
315	24.514817
316	24.28052576
317	24.19432235
318	23.93777774
319	23.78284503
320	23.55056404
321	23.45243395
322	23.25059673
323	23.06581934
324	22.9790291
325	22.76272149
326	22.40485136
327	22.14148079
328	22.05698599
329	21.97156659
330	21.76033206
331	21.68654281
332	21.45804746
333	21.3047146
334	21.05626757
335	20.92293217
336	20.58142953
337	20.4202689
338	20.23252999
339	20.07647921
340	19.89296871
341	19.70146741
342	19.48918122
343	19.32725543
344	19.25421613
345	19.2427644
346	19.12513783
347	18.94217101
348	18.8734462
349	18.71096844
350	18.54566194
351	18.34046585
352	18.19442416
353	18.09470137
354	17.99820233
355	17.80774979
356	17.59827483
357	17.52797879
358	17.47592574
359	17.31644945
360	17.09021991
361	16.86278149
362	16.75672703
363	16.70490754
364	16.55089814
365	16.46829083
366	16.3354181
367	16.16709244
368	16.11756218
369	16.05210453
370	15.85147013
371	15.64196017
372	15.53694617
373	15.46255398
374	15.41118922
375	15.23558403
376	15.05359705
377	14.91490792
378	14.739878
379	14.58645881
380	14.43986314
381	14.27292628
382	14.2361356
383	14.19087509
384	14.1614512
385	14.08073395
386	13.92503383
387	13.79649014
388	13.6242681
389	13.45725368
390	13.3279212
391	13.22555296
392	13.08828585
393	13.04854577
394	12.90102956
395	12.81536866
396	12.75129581
397	12.72374085
398	12.60288602
399	12.43994889
400	12.32984372
401	12.22491541
402	12.19449536
403	12.05392971
404	11.93257323
405	11.83298764
406	11.82245865
407	11.76414365
408	11.62741138
409	11.51721964
410	11.40866401
411	11.38060719
412	11.30658265
413	11.24241164
414	11.1792366
415	11.06748479
416	11.00261719
417	10.99054799
418	10.97759062
419	10.90654804
420	10.87354524
421	10.83614985
422	10.707003
423	10.68000948
424	10.64727436
425	10.5416603
426	10.42904521
427	10.37857045
428	10.28904175
429	10.28238882
430	10.23656031
431	10.17016046
432	10.07674067
433	10.0152836
434	9.951470331
