iter	Passed	Remaining
0	68	68110
1	144	72353
2	214	71201
3	284	70915
4	355	70787
5	428	70999
6	510	72358
7	595	73794
8	689	75932
9	784	77626
10	885	79575
11	985	81135
12	1077	81812
13	1185	83464
14	1268	83316
15	1347	82859
16	1431	82800
17	1513	82589
18	1588	82041
19	1674	82039
20	1753	81753
21	1842	81895
22	1928	81927
23	2009	81738
24	2098	81840
25	2201	82479
26	2281	82224
27	2368	82237
28	2445	81875
29	2519	81457
30	2599	81245
31	2690	81392
32	2775	81326
33	2867	81462
34	2947	81274
35	3022	80925
36	3093	80518
37	3168	80211
38	3243	79932
39	3318	79653
40	3389	79285
41	3459	78917
42	3533	78633
43	3606	78366
44	3679	78080
45	3752	77832
46	3822	77514
47	3896	77284
48	3983	77305
49	4062	77196
50	4144	77128
51	4225	77039
52	4302	76869
53	4376	76667
54	4453	76523
55	4526	76309
56	4599	76087
57	4673	75901
58	4745	75692
59	4814	75433
60	4888	75243
61	4961	75057
62	5036	74900
63	5113	74788
64	5186	74612
65	5257	74402
66	5353	74548
67	5424	74354
68	5493	74116
69	5560	73878
70	5626	73617
71	5698	73440
72	5773	73316
73	5843	73118
74	5911	72904
75	5982	72740
76	6057	72615
77	6130	72468
78	6201	72294
79	6271	72122
80	6346	72000
81	6415	71827
82	6490	71706
83	6562	71561
84	6633	71404
85	6705	71267
86	6784	71202
87	6861	71105
88	6944	71085
89	7025	71031
90	7102	70950
91	7175	70819
92	7253	70741
93	7327	70627
94	7400	70503
95	7482	70464
96	7559	70375
97	7635	70280
98	7714	70209
99	7794	70153
100	7875	70098
101	7952	70015
102	8028	69921
103	8108	69858
104	8188	69796
105	8262	69681
106	8335	69569
107	8410	69462
108	8483	69348
109	8555	69221
110	8630	69124
111	8708	69047
112	8788	68988
113	8865	68905
114	8949	68873
115	9031	68825
116	9109	68753
117	9184	68652
118	9257	68537
119	9331	68429
120	9403	68308
121	9476	68198
122	9551	68099
123	9620	67966
124	9692	67850
125	9767	67749
126	9837	67621
127	9909	67509
128	9984	67412
129	10056	67297
130	10126	67172
131	10201	67082
132	10273	66970
133	10344	66852
134	10417	66747
135	10489	66642
136	10563	66540
137	10635	66436
138	10706	66317
139	10776	66197
140	10849	66096
141	10914	65948
142	10982	65818
143	11050	65688
144	11121	65577
145	11191	65460
146	11262	65353
147	11338	65273
148	11414	65191
149	11486	65089
150	11549	64934
151	11615	64802
152	11682	64675
153	11747	64536
154	11813	64405
155	11884	64298
156	11959	64214
157	11994	63918
158	12063	63810
159	12135	63710
160	12203	63593
161	12271	63478
162	12343	63382
163	12416	63293
164	12497	63243
165	12573	63171
166	12653	63114
167	12729	63041
168	12797	62928
169	12871	62841
170	12943	62751
171	13014	62652
172	13084	62547
173	13156	62454
174	13223	62337
175	13293	62236
176	13367	62153
177	13439	62062
178	13508	61956
179	13575	61846
180	13641	61727
181	13708	61611
182	13780	61521
183	13852	61432
184	13929	61363
185	14010	61314
186	14084	61234
187	14162	61170
188	14236	61088
189	14305	60987
190	14376	60892
191	14449	60808
192	14520	60713
193	14589	60615
194	14662	60529
195	14732	60433
196	14803	60339
197	14873	60245
198	14941	60141
199	15010	60042
200	15085	59966
201	15159	59888
202	15232	59806
203	15307	59729
204	15379	59641
205	15449	59547
206	15517	59447
207	15584	59341
208	15653	59242
209	15724	59153
210	15795	59064
211	15862	58959
212	15936	58882
213	16002	58776
214	16070	58675
215	16141	58588
216	16210	58491
217	16278	58393
218	16348	58303
219	16421	58220
220	16492	58134
221	16569	58067
222	16644	57992
223	16713	57901
224	16786	57820
225	16858	57737
226	16941	57691
227	17021	57633
228	17110	57607
229	17192	57556
230	17278	57521
231	17360	57470
232	17433	57388
233	17510	57319
234	17592	57269
235	17675	57221
236	17765	57193
237	17850	57150
238	17923	57069
239	17999	56998
240	18072	56916
241	18147	56842
242	18222	56766
243	18297	56693
244	18375	56627
245	18452	56557
246	18517	56451
247	18585	56356
248	18657	56272
249	18725	56176
250	18795	56087
251	18870	56011
252	18947	55945
253	19029	55889
254	19104	55816
255	19175	55729
256	19251	55658
257	19351	55653
258	19434	55603
259	19510	55530
260	19583	55450
261	19650	55352
262	19720	55261
263	19795	55188
264	19873	55120
265	19951	55053
266	20021	54965
267	20089	54870
268	20161	54788
269	20236	54712
270	20320	54661
271	20401	54605
272	20489	54564
273	20569	54501
274	20645	54428
275	20718	54349
276	20799	54288
277	20900	54280
278	20980	54218
279	21056	54145
280	21138	54088
281	21226	54043
282	21299	53963
283	21375	53889
284	21453	53821
285	21529	53747
286	21593	53644
287	21665	53561
288	21738	53482
289	21810	53398
290	21885	53321
291	21959	53243
292	22035	53171
293	22110	53094
294	22180	53007
295	22253	52926
296	22332	52861
297	22406	52781
298	22479	52702
299	22556	52631
300	22644	52586
301	22730	52536
302	22813	52479
303	22895	52418
304	22976	52355
305	23069	52321
306	23154	52268
307	23236	52206
308	23312	52131
309	23388	52058
310	23458	51971
311	23533	51895
312	23610	51822
313	23696	51770
314	23779	51711
315	23854	51634
316	23931	51562
317	24010	51493
318	24083	51412
319	24159	51339
320	24233	51261
321	24311	51189
322	24393	51129
323	24472	51060
324	24553	50994
325	24636	50935
326	24713	50863
327	24785	50779
328	24858	50699
329	24934	50624
330	25010	50549
331	25094	50490
332	25173	50421
333	25245	50339
334	25318	50258
335	25399	50193
336	25471	50110
337	25553	50048
338	25636	49987
339	25713	49913
340	25789	49840
341	25866	49765
342	25941	49689
343	26010	49601
344	26085	49525
345	26091	49318
346	26158	49226
347	26231	49146
348	26308	49074
349	26383	48997
350	26458	48921
351	26528	48837
352	26594	48744
353	26669	48668
354	26747	48597
355	26823	48523
356	26905	48460
357	26984	48390
358	27062	48320
359	27136	48243
360	27212	48168
361	27283	48085
362	27360	48012
363	27438	47942
364	27515	47868
365	27594	47800
366	27681	47745
367	27766	47686
368	27854	47632
369	27936	47567
370	28013	47494
371	28095	47429
372	28173	47359
373	28264	47308
374	28361	47269
375	28448	47213
376	28552	47184
377	28642	47131
378	28725	47068
379	28819	47021
380	28915	46978
381	29008	46929
382	29105	46887
383	29188	46823
384	29268	46753
385	29347	46682
386	29426	46611
387	29512	46551
388	29597	46488
389	29688	46436
390	29771	46369
391	29845	46290
392	29925	46221
393	30012	46161
394	30097	46098
